"NBa7we src","d4r55","RfnDt","RfnDt 2","hCCjke src 2","hCCjke src 3","hCCjke src 4","hCCjke src 5","rsqaWe","wiI7pd","w8nwRe","dSlJg src","dSlJg src 2","znYl0","nM6d2c","DZSIDd","wiI7pd 2","znYl0 2"
"https://lh3.googleusercontent.com/a-/ALV-UjUIojCfuNNvgJkErjaGZPdwpvG1VK1lx7Vt8oQ5g3G6S1E=w54-h54-p-rp-mo-br100","Jeslyn Tan","1 review","","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","9 months ago","Best gelato I’ve cream in my life. I feel like I’m reliving my childhood. The uncle and auntie are really kind and patient and the uncle let’s us taste many different flavours before we make a decision. The atmosphere is overall really chill and the people here are amazing!!! TURKISH HAZELNUT IS THE BESTTTT","","https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png","Like","Response from the owner","9 months ago","Hey Jes, A big Thank you for your 5-Star Review and Rating. We are so encourage to Work and Serve to your Happiness and Childhood memories. It's Great to hear that. Whenever, just drop by to be Happy ❤️🧑‍🏭🤠","Share"
"https://lh3.googleusercontent.com/a/ACg8ocIuUTwyDDlKu8z3_jy1VPMAjDU4DZ3Ux6Ey_yjRg-Sz=w54-h54-p-rp-mo-ba3-br100","Hazel Yeo","· 20 reviews","Local Guide","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","a year ago","Love the Turkish hazelnut gelato! Uncle and Auntie very friendly. Gelato in panini is interesting","","https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png","Share","Response from the owner","a year ago","Hi Hazel, 🙌 The Round Panini press seals the Brioche Buttery Buns with the selected choice of Gelato like an UFO! 😂It's really Crispy, Hot on the outide and the frozen Gelato inside, when it's bite into your Mouth, it's like Wow!😲Sensational Sicilian Experience LOL. Bring friends to experience it ya, must Jio LOL, Uncle","Like"
"https://lh3.googleusercontent.com/a/ACg8ocJE14z7cLE-CsEAz02Ovda5IGbxH7xQCFK8UkC9ggV21FM=w54-h54-p-rp-mo-br100","Nicole Lim","7 reviews","","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","7 months ago","Super generous uncle, he really trying to make you try all the flavors of gelato before you decide which one you want. Strong and intense taste, you can really taste the gelato and it’s not those artificial flavoring. Definitely the best gelato I can find in Singapore!","","https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png","Like","Response from the owner","7 months ago","Hi Nicole, Thank you, thank you & thank you. Such wonderful and encouraging words. Appreciated your patronage and time in writing us A 5-Star Review. 🥂🤠🧑‍🏭","Share"
"https://lh3.googleusercontent.com/a/ACg8ocIg_F8X6d8M-bZFAgK_rQwMuO-aE8s6qXzP5zmIm5GX=w54-h54-p-rp-mo-ba4-br100","Carrin Tan","· 71 reviews","Local Guide","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","a year ago","nice cozy place for very good self-made gelato! there's a few seats for guests to enjoy gelato over a cup of freshly brewed illy coffee.
Friendly owner couple Mr and Mrs Tan.","","https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png","Share","Response from the owner","a year ago","Alright Carrin, so happy to see your Wonderful Hubby and the Grown -up Ah Boys 👍 We enjoyed so much together in our friendly conversation. Thanking you for your patronage and bringing down the family. It's Fun, hope to be seeing you all again. God Bless and Wishes You & Family A Very Happy New Year, Be all Safe & Healthy!","Like"
"https://lh3.googleusercontent.com/a/ACg8ocLh6PV35fSSXLy98LdRsz2s6zdq8-Kq1FlBzOcv16dd=w54-h54-p-rp-mo-br100","Jennifer Page","3 reviews","","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","3 months ago","The only thing better than the ice cream are the amazing owners. They have you trying everything. Been back many times and will visit many more.","","https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png","Like","Response from the owner","3 months ago","Oh Hi Jennifer, 😂😂😂it's the norm already. Just to ensure the in-store production maintain 5-Star standard 👍👍👍🙏❤️🤠🧑‍🏭","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjV2hxZC3tKLY92wcFoVjpDoEU52ST2_O0-Paun4zh2ZDVU=w54-h54-p-rp-mo-br100","Dhruv Ramnarayan","3 reviews","","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","3 weeks ago","Delicious ice cream and the Uncle was so friendly and kind :) Easy 5 star for me","","https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png","Like","Response from the owner","3 weeks ago","Hi Dhruv, Thank you and Appreciated your 5-Star Review, Patronage and Time altogether, It's very encouraging. 👩‍❤️‍👨","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjUA7V_7PdTSzWYDbTRD_bbk_SRUCeRiQhkHafwpEncjwi0=w54-h54-p-rp-mo-ba4-br100","Tua Pui Kia","· 95 reviews","Local Guide","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","2 months ago","The uncle is very nice, he lets us try the gelato before ordering. The place is very small but cozy. I traveled far to try the gelato.👍👍👍 …","","https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png","Like","Response from the owner","5 months ago","Wow, Pui Kia, Thank you for coming all the way 😊 Appreciated 🙏🙏🙏","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjXLOrYOU4dh7rhgKmvDpE-O78Kx1T7WWyyCUnXikCjWHQ=w54-h54-p-rp-mo-br100","Edmen Tam","15 reviews","","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","3 months ago","Come here to experience a rare case of fantastic customer service in Singapore. Kudos to auntie and uncle! ❤️","","https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png","Like","Response from the owner","3 months ago","Thank you Sir. Appreciated your patronage and time in writing us this 5-Star Review indeed. Wish you and friends had A good time in Singapore. Cheers Mr Tam 🙏🤠🧑‍🏭","Share"
"https://lh3.googleusercontent.com/a/ACg8ocKY2K0Wx9hDK-4HdC5yALoZ5gSQMNPDmIlvCgXjs6ds=w54-h54-p-rp-mo-br100","Dritro Deda","6 reviews","","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","a month ago","Best espresso in town with the best gelato and the cutest, elderly couple. Thank you so much!","","https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png","Like","Response from the owner","a month ago","Wow Dritro, Thank you for your 5-Stsr Review, Appreciated your Patronage and Time🙏🙏🙏
🏆🍨🥂","Share"
"https://lh3.googleusercontent.com/a/ACg8ocLBYWFFOksD1MXfL-jyjtOHJ_Ct7X0ael_Te0sbqqJuIw=w54-h54-p-rp-mo-br100","Rachel L","4 reviews","","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","2 months ago","Friendly shopowners and super delicious, creamy ice cream!!! Definitely will bring more friends to come here :)","","https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png","Like","Response from the owner","2 months ago","Hello Rachel, so kind of you for patronage, time in writing us a 5-Star Review. And support to bring more friends over, 🙏🙏🙏
Kind Regards,
🤠🧑‍🏭🥂🙏🙏🙏","Share"
"https://lh3.googleusercontent.com/a/ACg8ocJ5-XQW_wNBazDgPaJ6Nb_GdEqKMEWC7RE9wQF6cspZ=w54-h54-p-rp-mo-br100","Vernise Lim","3 reviews","","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","a month ago","the uncle is so wholesome and the gelato is actually really damn good 😭 please come if u can !! …","","https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png","Like","Response from the owner","a month ago","Wow Vernise, Perfect 10🙏🙏🙏
🤠🧑‍🏭 Wholesome
ice cream
🍨🏆✨👍👍👍
Thanking you and Appreciated your patronage and time in writing thos 5-Star Review 🙏🙏🙏","Share"
