query,error,timestamp,profilePictureUrl,username,profileUrl,comment,likeCount,replyCount,commentDate,commentId,ownerId
https://www.instagram.com/p/CxHigrySe-8/,,2023-10-20T14:39:40.148Z,https://scontent.cdninstagram.com/v/t51.2885-19/337552145_183377234015715_5561310347377845842_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=103&_nc_ohc=Kn3lCofXy9AAX-VWXds&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfBijxCnUyZcqCOeltp6m3M5R61XUZhmKe1A-B_17tNe7A&oe=6537B826&_nc_sid=10d13b,miracle82,https://www.instagram.com/miracle82,@emaylye,0,1,2023-09-14T10:17:16.000Z,18121044511311386,4747294
https://www.instagram.com/p/CxBE55eSA25/,,2023-10-20T14:39:58.348Z,https://scontent.cdninstagram.com/v/t51.2885-19/386240952_284062707779069_4118047414465079166_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=105&_nc_ohc=iqHK4rdATzoAX_mTRkv&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfBL9Au-CVx0gLw5Z9QDD4jjIpgK2-nA5JYxQrYHtBjx7A&oe=653763FA&_nc_sid=10d13b,chiaksimi,https://www.instagram.com/chiaksimi,Yummy,0,0,2023-09-10T16:12:36.000Z,17888079815841951,44417255492
https://www.instagram.com/p/Cw9PVpRS_9p/,No comments found,2023-10-20T14:40:10.462Z,,,,,,,,,
https://www.instagram.com/p/Cw2BEpvO-_M/,,2023-10-20T14:40:22.917Z,https://scontent.cdninstagram.com/v/t51.2885-19/346220926_769382994801967_3857796157393996848_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=107&_nc_ohc=00XWYyLFKUMAX_nhI0p&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfDG-F47yuEUXLoa0r4vnfiVQ9T8-4-s2E3Y7oWWr-q54w&oe=65383568&_nc_sid=10d13b,tomatojouce,https://www.instagram.com/tomatojouce,Tomato monster!,0,0,2023-09-06T09:54:55.000Z,18009222199767967,5941552310
https://www.instagram.com/p/CwtylERSN6Q/,,2023-10-20T14:40:40.489Z,https://scontent.cdninstagram.com/v/t51.2885-19/331362051_3511706342381710_1756525211983415895_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=110&_nc_ohc=aJyLPLMLNTcAX-jUQhK&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfBoI4lZ0Tst1lQ0xnYP9scwlxxJlBEXlCcRKXyE5mGPTA&oe=6536E639&_nc_sid=10d13b,sherminwu,https://www.instagram.com/sherminwu,Pls restock sesame tang yuan at toa payoh outlet so i can stock them up pls (i want to self pickup there),0,0,2023-09-03T10:49:42.000Z,18044797705495708,11695712
https://www.instagram.com/p/CwtylERSN6Q/,,2023-10-20T14:40:40.489Z,https://scontent.cdninstagram.com/v/t51.2885-19/73319016_630921117440746_3023157849644597248_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=110&_nc_ohc=SR36H6-gkmMAX8qY57d&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfAVu2-zzZ9VyvHUlzqhFTSSSVgQ6Sjres0Tx-eviePb4A&oe=6538171E&_nc_sid=10d13b,jonathanyuen,https://www.instagram.com/jonathanyuen,😍😍😍,1,0,2023-09-03T09:55:36.000Z,17854648586998412,825734
https://www.instagram.com/p/CwtylERSN6Q/,,2023-10-20T14:40:40.489Z,https://scontent.cdninstagram.com/v/t51.2885-19/358786811_785943903308273_2775390043581453719_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=105&_nc_ohc=S7VQKJSPwA0AX9XKZzo&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfAbhARhzXL44FiJJKYt4ALRweWiDwt4DK3OC5zh8g7sKQ&oe=653864A2&_nc_sid=10d13b,lim_chloe,https://www.instagram.com/lim_chloe,Pls restock Putu Piring and Earl Grey Lychee pints,0,0,2023-09-04T07:21:57.000Z,17977943531306052,630501022
https://www.instagram.com/p/CwtylERSN6Q/,,2023-10-20T14:40:40.489Z,https://scontent.cdninstagram.com/v/t51.2885-19/73172485_2709971949064615_1091833029409636352_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=107&_nc_ohc=Sg_FPXD2txoAX9pozgy&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfDzLMoPPMve0S5Qmu6Qr9pKf7UnBj5rEh8WJIXPEe_PCA&oe=6538195D&_nc_sid=10d13b,jinister,https://www.instagram.com/jinister,Triple plain ole chocolate 🟤🟤🟤,1,0,2023-09-03T09:20:08.000Z,17988663836253839,230311503
https://www.instagram.com/p/CwtylERSN6Q/,,2023-10-20T14:40:40.489Z,https://scontent.cdninstagram.com/v/t51.2885-19/308907488_150263680679833_7568505067559662425_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=101&_nc_ohc=Z0357wvyXPcAX_QU3fk&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfClr5-SkzHf4n3_3WsojyoDW4PHy3EqfPwr0rGi9Us89w&oe=6537B7BA&_nc_sid=10d13b,atmjie,https://www.instagram.com/atmjie,Is sesame pint available at tpy outlet? I went a few times and it was never available in pint.,0,0,2023-09-04T03:36:59.000Z,18057114199415433,1012846079
https://www.instagram.com/p/CwtylERSN6Q/,,2023-10-20T14:40:40.489Z,https://scontent.cdninstagram.com/v/t51.2885-19/364947016_2214724658717542_3672582792031081254_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=110&_nc_ohc=wUagSq-64nsAX-dPhQC&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfByZ-nZby3xug4y42vcTu8kSHOG9qcDsW9Jwql33YlD6A&oe=653721B0&_nc_sid=10d13b,lynnli.t_,https://www.instagram.com/lynnli.t_,😍😍😍😍,0,0,2023-09-04T14:54:27.000Z,17948481311677087,33868436
https://www.instagram.com/p/CwtylERSN6Q/,,2023-10-20T14:40:40.489Z,https://scontent.cdninstagram.com/v/t51.2885-19/205567285_828518611110383_195577629951435887_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=111&_nc_ohc=kRG7He0X5OgAX8hJPy6&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfCRTVcA1ZOjMz1NEug4raBQASHYV-SsLyKGXVkITHvREg&oe=65376915&_nc_sid=10d13b,wenhui.loh,https://www.instagram.com/wenhui.loh,@sag.amber  pls wait for us to buy a pint to keep!!!,0,1,2023-09-03T07:18:09.000Z,17992715702182717,259693972
https://www.instagram.com/p/CwmEME0Sdh3/,No comments found,2023-10-20T14:40:52.852Z,,,,,,,,,
https://www.instagram.com/p/CwWxBDzS2S-/,,2023-10-20T14:41:04.852Z,https://scontent.cdninstagram.com/v/t51.2885-19/382702726_187605007619940_4000170150453840754_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=100&_nc_ohc=5oVgaw26v_cAX9_hmQP&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfCBWW4995o4tUGldtITty0Um623EpY3PF2wkd1R2Uk_BA&oe=6537D6AA&_nc_sid=10d13b,manacrep_110,https://www.instagram.com/manacrep_110,Wow🔥dm it on @hello_.singapore,0,0,2023-08-25T05:25:41.000Z,17977096544442077,60860540109
https://www.instagram.com/p/CwULhdfqWks/,,2023-10-20T14:41:22.709Z,https://scontent.cdninstagram.com/v/t51.2885-19/59834514_2432915773598186_3452433427083558912_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=102&_nc_ohc=uTSKIDNz3OAAX9KnaEq&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfClXQBDCYghivpEMTfNRXgA1XCwOBmQzATd_1c0qbazMg&oe=6537F126&_nc_sid=10d13b,sleehm95,https://www.instagram.com/sleehm95,it is sold out online,0,0,2023-08-27T07:19:43.000Z,17930609396738552,194727985
